Date,AAPL,AMZN,BRK.B,GOOGL,JNJ,META,MSFT,NVDA,TSLA,V
2020-07-01,110737200,127268000,,42182000,6174800,43399700,32061200,326648000,199903500,6394100
2020-07-02,114041600,131868000,,57218000,5152200,30633600,29315800,364056000,258751500,6299300
2020-07-06,118655600,137612000,,44712000,6156400,26206200,31897600,315892000,308548500,7292200
2020-07-07,112424400,105150000,,42364000,5622600,27887800,33600700,357800000,322345500,7660100
2020-07-08,117092000,100752000,,31766000,6257400,29791300,33600000,365480000,244669500,8368000
2020-07-09,125642800,127774000,,41836000,5738600,22174900,33121700,494548000,175764000,8548200
2020-07-10,90257200,109720000,,35918000,4282400,22982700,26177600,497676000,350064000,7674200
2020-07-13,191649200,154408000,,42954000,6951900,24674900,38135600,457076000,584781000,8564100
2020-07-14,170989200,144638000,,38108000,7447100,23378100,37591800,542676000,351271500,8003900
2020-07-15,153198000,115778000,,31026000,8512800,19133600,32179400,403984000,245517000,7681100
2020-07-16,110577600,127884000,,26484000,9304700,18880700,29940700,344964000,214512000,5064000
2020-07-17,92186800,95226000,,34264000,7441100,18152400,31635300,266284000,139950000,6395000
2020-07-20,90318000,151964000,,30166000,6191500,20872200,36884800,284852000,256821000,6985300
2020-07-21,103433200,122426000,,27486000,5575900,19364200,37990400,277036000,241608000,7218700
2020-07-22,89001600,82084000,,24482000,5910200,15427900,49605700,367292000,212416500,6823400
2020-07-23,197004400,113138000,,33910000,6566300,21771800,67457000,411660000,364927500,6106700
2020-07-24,185438800,112648000,,29902000,5405900,18325800,39827000,473292000,290949000,7160300
2020-07-27,121214000,83410000,,27124000,5675200,13163100,30160900,292132000,240730500,5604700
2020-07-28,103625600,62534000,,30910000,4842200,14170100,23251400,271636000,237130500,6897300
2020-07-29,90329200,59482000,,22676000,4489100,13588300,19632600,284508000,141403500,9471300
2020-07-30,158130000,122566000,,36042000,5922500,20615300,25079600,308880000,114315000,10499400
2020-07-31,374336800,161710000,,91468000,8259600,53005100,51044000,386080000,183123000,14180800
2020-08-03,308151200,101494000,,45482000,4078700,23124900,78983000,412720000,132139500,11405200
2020-08-04,173071600,93886000,,37212000,4162200,17183500,49280100,310336000,126225000,8204000
2020-08-05,121776800,78330000,,29134000,5467500,13050100,28806400,249924000,74217000,8876800
2020-08-06,202428800,78812000,,33306000,4837900,45241600,32656800,244316000,89884500,7480300
2020-08-07,198045600,78722000,,27718000,3635100,72766400,27820400,342516000,133446000,5654000
2020-08-10,212403600,63346000,,20546000,4096600,30248800,36716500,427796000,112834500,5525400
2020-08-11,187902400,74362000,,31098000,6388400,28238300,36446500,354512000,129387000,11549600
2020-08-12,165598000,70442000,,22512000,5257300,21415700,28013100,464412000,327441000,5432500
2020-08-13,210082000,62980000,,22388000,5155500,17374000,22588900,374460000,306379500,7014800
2020-08-14,165565200,55034000,,21942000,4240200,14792700,17958900,366436000,188664000,5014400
2020-08-17,119561600,53824000,,19990000,4306900,13351100,20184800,621300000,303634500,6256200
2020-08-18,105633600,106920000,,28378000,4322600,18690400,21336200,503448000,247117500,6519900
2020-08-19,145538000,83702000,,30472000,7816300,23291500,27627600,622624000,183079500,9467600
2020-08-20,126907200,66650000,,26382000,4874700,20299700,26981500,921388000,309177000,8849200
2020-08-21,338054800,71518000,,34838000,6722800,15538600,36249300,999868000,322344000,9998300
2020-08-24,345937600,93326000,,25638000,5387900,23685600,25460100,490564000,300954000,6159600
2020-08-25,211495600,79856000,,25150000,3863500,42127200,23043700,289076000,159883500,5828300
2020-08-26,163022400,130174000,,52188000,8008300,69015200,39600800,321244000,213591000,7035200
2020-08-27,155552400,85296000,,31350000,5575400,30301300,57602200,317604000,355395000,8619600
2020-08-28,187630000,57940000,,22418000,5395700,17157400,26292900,537160000,301218000,7349800
